case_idx,exec_idx,step,layer,overlap_top1,overlap_top2
0,0,0,0,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,2,0.0,0.1
0,0,0,3,0.0,0.1
0,0,0,4,0.0,0.0
0,0,0,5,0.0,0.0
0,0,0,6,0.0,0.0
0,0,0,7,0.0,0.0
0,0,0,8,0.0,0.0
0,0,0,9,0.0,0.0
0,0,0,10,0.0,0.0
0,0,0,11,0.0,0.0
0,0,0,12,0.0,0.0
0,0,0,13,0.0,0.0
0,0,0,14,0.0,0.0
0,0,0,15,0.0,0.0
0,0,0,16,0.0,0.0
0,0,0,17,0.0,0.0
0,0,0,18,0.0,0.0
0,0,0,19,0.0,0.0
0,0,0,20,0.0,0.0
0,0,0,21,0.0,0.0
0,0,0,22,0.0,0.0
0,0,0,23,0.0,0.0
0,0,0,24,0.0,0.0
0,0,0,25,0.0,0.0
0,0,0,26,0.0,0.0
0,0,0,27,0.0,0.0
0,0,0,28,0.0,0.0
0,0,0,29,0.0,0.0
0,0,0,30,0.0,0.0
0,0,0,31,0.0,0.0
0,0,0,32,0.0,0.0
0,0,0,33,0.0,0.0
0,0,0,34,0.0,0.0
0,0,0,35,0.0,0.0
0,0,0,36,0.0,0.0
0,0,0,37,0.0,0.0
0,0,0,38,0.0,0.0
0,0,0,39,0.3,0.2
0,0,20,0,0.0,0.0
0,0,20,1,0.0,0.0
0,0,20,2,0.0,0.0
0,0,20,3,0.0,0.0
0,0,20,4,0.0,0.0
0,0,20,5,0.0,0.0
0,0,20,6,0.8,0.8
0,0,20,7,0.7,0.7
0,0,20,8,0.8,0.7
0,0,20,9,0.8,0.7
0,0,20,10,0.8,0.7
0,0,20,11,0.7,0.7
0,0,20,12,0.7,0.7
0,0,20,13,0.7,0.7
0,0,20,14,0.7,0.7
0,0,20,15,0.7,0.7
0,0,20,16,0.7,0.7
0,0,20,17,0.7,0.7
0,0,20,18,0.7,0.7
0,0,20,19,0.6,0.6
0,0,20,20,0.7,0.7
0,0,20,21,0.6,0.6
0,0,20,22,0.6,0.6
0,0,20,23,0.6,0.6
0,0,20,24,0.6,0.6
0,0,20,25,0.6,0.6
0,0,20,26,0.6,0.6
0,0,20,27,0.6,0.6
0,0,20,28,0.6,0.6
0,0,20,29,0.6,0.6
0,0,20,30,0.6,0.6
0,0,20,31,0.6,0.6
0,0,20,32,0.6,0.6
0,0,20,33,0.6,0.6
0,0,20,34,0.7,0.7
0,0,20,35,0.7,0.7
0,0,20,36,0.7,0.6
0,0,20,37,0.6,0.6
0,0,20,38,0.3,0.3
0,0,20,39,0.3,0.2
0,0,40,0,0.0,0.0
0,0,40,1,0.0,0.0
0,0,40,2,0.0,0.0
0,0,40,3,0.0,0.0
0,0,40,4,0.0,0.0
0,0,40,5,0.0,0.0
0,0,40,6,0.8,0.8
0,0,40,7,0.9,0.8
0,0,40,8,0.9,0.8
0,0,40,9,0.9,0.8
0,0,40,10,0.8,0.7
0,0,40,11,0.8,0.7
0,0,40,12,0.8,0.7
0,0,40,13,0.8,0.7
0,0,40,14,0.8,0.7
0,0,40,15,0.8,0.7
0,0,40,16,0.8,0.7
0,0,40,17,0.8,0.7
0,0,40,18,0.8,0.7
0,0,40,19,0.7,0.7
0,0,40,20,0.7,0.7
0,0,40,21,0.7,0.7
0,0,40,22,0.7,0.7
0,0,40,23,0.7,0.7
0,0,40,24,0.7,0.7
0,0,40,25,0.7,0.7
0,0,40,26,0.7,0.7
0,0,40,27,0.7,0.7
0,0,40,28,0.7,0.7
0,0,40,29,0.6,0.7
0,0,40,30,0.7,0.7
0,0,40,31,0.7,0.7
0,0,40,32,0.7,0.7
0,0,40,33,0.7,0.7
0,0,40,34,0.7,0.6
0,0,40,35,0.7,0.6
0,0,40,36,0.7,0.6
0,0,40,37,0.7,0.6
0,0,40,38,0.7,0.6
0,0,40,39,0.4,0.2
0,1,0,0,0.0,0.0
0,1,0,1,0.0,0.0
0,1,0,2,0.0,0.0
0,1,0,3,0.0,0.0
0,1,0,4,0.0,0.0
0,1,0,5,0.0,0.0
0,1,0,6,0.0,0.0
0,1,0,7,0.0,0.0
0,1,0,8,0.0,0.0
0,1,0,9,0.0,0.0
0,1,0,10,0.0,0.0
0,1,0,11,0.0,0.0
0,1,0,12,0.0,0.0
0,1,0,13,0.0,0.0
0,1,0,14,0.0,0.0
0,1,0,15,0.0,0.0
0,1,0,16,0.0,0.0
0,1,0,17,0.0,0.0
0,1,0,18,0.0,0.0
0,1,0,19,0.0,0.0
0,1,0,20,0.0,0.0
0,1,0,21,0.0,0.0
0,1,0,22,0.0,0.0
0,1,0,23,0.0,0.0
0,1,0,24,0.0,0.0
0,1,0,25,0.0,0.0
0,1,0,26,0.0,0.0
0,1,0,27,0.0,0.0
0,1,0,28,0.0,0.0
0,1,0,29,0.0,0.0
0,1,0,30,0.0,0.0
0,1,0,31,0.0,0.0
0,1,0,32,0.0,0.0
0,1,0,33,0.0,0.0
0,1,0,34,0.0,0.0
0,1,0,35,0.0,0.0
0,1,0,36,0.0,0.0
0,1,0,37,0.0,0.0
0,1,0,38,0.0,0.0
